device_id,date_time,flow
1,2021-09-26 15:28:06,0.284
1,2021-09-26 15:30:06,0.0
1,2021-09-26 15:45:06,0.324
1,2021-09-26 15:56:06,0.0
1,2021-09-26 16:22:06,0.279
1,2021-09-26 16:33:06,0.0
1,2021-09-26 16:35:06,0.338
1,2021-09-26 16:41:06,0.0
1,2021-09-26 16:52:06,0.395
1,2021-09-26 16:57:06,0.0
1,2021-09-26 17:24:06,0.203
1,2021-09-26 17:29:06,0.0
1,2021-09-26 17:40:06,0.7
1,2021-09-26 17:50:06,0.0
1,2021-09-26 17:52:06,0.7
1,2021-09-26 18:02:06,0.0
1,2021-09-26 18:04:06,0.7
1,2021-09-26 18:14:06,0.0
1,2021-09-26 18:16:06,0.7
1,2021-09-26 18:19:06,0.986
1,2021-09-26 18:26:06,0.286
1,2021-09-26 18:29:06,0.0
1,2021-09-26 19:09:06,0.291
1,2021-09-26 19:12:06,0.691
1,2021-09-26 19:16:06,0.291
1,2021-09-26 19:17:06,0.0
1,2021-09-26 19:44:06,0.316
1,2021-09-26 19:56:06,0.0
1,2021-09-26 20:50:06,0.24
1,2021-09-26 21:03:06,0.0
1,2021-09-26 21:04:06,0.28
1,2021-09-26 21:07:06,0.0
1,2021-09-26 21:57:06,0.29
1,2021-09-26 22:03:06,0.0
1,2021-09-26 22:04:06,0.308
1,2021-09-26 22:18:06,0.0
1,2021-09-26 23:05:06,0.283
1,2021-09-26 23:20:06,0.0
1,2021-09-26 23:39:06,0.4
1,2021-09-26 23:43:06,0.0
1,2021-09-26 23:48:06,0.243
1,2021-09-26 23:51:06,0.0
1,2021-09-27 00:21:06,0.205
1,2021-09-27 00:34:06,0.0
1,2021-09-27 00:50:06,0.312
1,2021-09-27 01:01:06,0.0
1,2021-09-27 01:18:06,0.303
1,2021-09-27 01:30:06,0.0
1,2021-09-27 02:28:06,0.363
1,2021-09-27 02:31:06,0.0
1,2021-09-27 03:06:06,0.254
1,2021-09-27 03:17:06,0.0
1,2021-09-27 03:48:06,0.21
1,2021-09-27 03:49:06,0.61
1,2021-09-27 03:52:06,0.4
1,2021-09-27 03:53:06,0.0
1,2021-09-27 04:32:06,0.301
1,2021-09-27 04:46:06,0.0
1,2021-09-27 04:55:06,0.275
1,2021-09-27 05:07:06,0.0
1,2021-09-27 05:44:06,0.374
1,2021-09-27 05:47:06,0.0
1,2021-09-27 06:35:06,0.245
1,2021-09-27 06:46:06,0.0
1,2021-09-27 07:26:06,0.374
1,2021-09-27 07:32:06,0.774
1,2021-09-27 07:36:06,0.374
1,2021-09-27 07:39:06,0.0
1,2021-09-27 07:57:06,0.205
1,2021-09-27 08:03:06,0.0
1,2021-09-27 08:21:06,0.374
1,2021-09-27 08:30:06,0.0
1,2021-09-27 08:38:06,0.235
1,2021-09-27 08:43:06,0.0
1,2021-09-27 09:11:06,0.241
1,2021-09-27 09:21:06,0.0
1,2021-09-27 09:29:06,0.218
1,2021-09-27 09:44:06,0.0
1,2021-09-27 09:53:06,0.246
1,2021-09-27 10:02:06,0.0
1,2021-09-27 10:28:06,0.348
1,2021-09-27 10:42:06,0.0
1,2021-09-27 10:56:06,0.4
1,2021-09-27 11:00:06,0.0
1,2021-09-27 11:07:06,0.275
1,2021-09-27 11:18:06,0.0
1,2021-09-27 12:14:06,0.262
1,2021-09-27 12:17:06,0.0
1,2021-09-27 13:15:06,0.32
1,2021-09-27 13:25:06,0.0
1,2021-09-27 14:23:06,0.34
