device_id,date_time,flow
1,2021-08-27 15:29:06,0.203
1,2021-08-27 15:31:06,0.0
1,2021-08-27 15:33:06,0.4
1,2021-08-27 15:37:06,0.0
1,2021-08-27 16:17:06,0.204
1,2021-08-27 16:27:06,0.0
1,2021-08-27 17:26:06,0.256
1,2021-08-27 17:39:06,0.0
1,2021-08-27 18:36:06,0.342
1,2021-08-27 18:48:06,0.742
1,2021-08-27 18:51:06,0.4
1,2021-08-27 18:52:06,0.0
1,2021-08-27 19:10:06,0.333
1,2021-08-27 19:19:06,0.0
1,2021-08-27 20:09:06,0.349
1,2021-08-27 20:16:06,0.0
1,2021-08-27 21:00:06,0.354
1,2021-08-27 21:14:06,0.0
1,2021-08-27 21:46:06,0.356
1,2021-08-27 22:01:06,0.0
1,2021-08-27 22:16:06,0.4
1,2021-08-27 22:20:06,0.0
1,2021-08-27 22:28:06,0.22
1,2021-08-27 22:32:06,0.0
1,2021-08-27 23:32:06,0.369
1,2021-08-27 23:35:06,0.0
1,2021-08-27 23:58:06,0.277
1,2021-08-28 00:12:06,0.0
1,2021-08-28 00:24:06,0.295
1,2021-08-28 00:36:06,0.0
1,2021-08-28 00:49:06,0.361
1,2021-08-28 00:57:06,0.0
1,2021-08-28 01:29:06,0.344
1,2021-08-28 01:37:06,0.0
1,2021-08-28 01:38:06,0.222
1,2021-08-28 01:40:06,0.0
1,2021-08-28 02:22:06,0.342
1,2021-08-28 02:24:06,0.0
1,2021-08-28 02:51:06,0.4
1,2021-08-28 02:55:06,0.0
1,2021-08-28 03:22:06,0.314
1,2021-08-28 03:28:06,0.0
1,2021-08-28 04:24:06,0.246
1,2021-08-28 04:35:06,0.0
1,2021-08-28 04:43:06,0.396
1,2021-08-28 04:53:06,0.0
1,2021-08-28 05:07:06,0.276
1,2021-08-28 05:16:06,0.0
1,2021-08-28 05:28:06,0.236
1,2021-08-28 05:37:06,0.0
1,2021-08-28 05:58:06,0.4
1,2021-08-28 06:02:06,0.0
1,2021-08-28 06:19:06,0.242
1,2021-08-28 06:32:06,0.0
1,2021-08-28 06:53:06,0.7
1,2021-08-28 07:03:06,0.0
1,2021-08-28 07:05:06,0.7
1,2021-08-28 07:13:06,0.95
1,2021-08-28 07:15:06,0.25
1,2021-08-28 07:17:06,0.95
1,2021-08-28 07:27:06,0.25
1,2021-08-28 07:28:06,0.0
1,2021-08-28 07:29:06,0.7
1,2021-08-28 07:39:06,0.0
1,2021-08-28 08:02:06,0.319
1,2021-08-28 08:14:06,0.0
1,2021-08-28 08:54:06,0.319
1,2021-08-28 08:58:06,0.0
1,2021-08-28 09:18:06,0.4
1,2021-08-28 09:22:06,0.0
1,2021-08-28 09:37:06,0.245
1,2021-08-28 09:52:06,0.0
1,2021-08-28 10:48:06,0.32
1,2021-08-28 11:03:06,0.0
1,2021-08-28 11:54:06,0.238
1,2021-08-28 11:56:06,0.0
1,2021-08-28 11:59:06,0.385
1,2021-08-28 12:02:06,0.0
1,2021-08-28 12:25:06,0.257
1,2021-08-28 12:37:06,0.0
1,2021-08-28 12:56:06,0.311
